x,alpha,beta,mu,delta,mpmath,scipy,gnp
-10.0,0.001,1e-06,-10.0,0.001,4.9999999556547969E-01,5.0000049564936822E-01,4.9999999556547980E-01
-10.0,0.001,1e-06,-10.0,2.6325263157894736,4.9999491214806518E-01,4.9999491214817832E-01,4.9999491214806513E-01
-10.0,0.001,1e-06,-10.0,5.264052631578948,4.9999096661480807E-01,4.9999096661187403E-01,4.9999096661480819E-01
-10.0,0.001,1e-06,-10.0,7.8955789473684215,4.9998744190337807E-01,4.9998744190339306E-01,4.9998744190337796E-01
-10.0,0.001,1e-06,-10.0,10.527105263157894,4.9998418614756923E-01,4.9998418614756862E-01,4.9998418614756923E-01
-10.0,0.001,1e-06,-10.0,13.158631578947368,4.9998112758138014E-01,4.9998112758124247E-01,4.9998112758138014E-01
-10.0,0.001,1e-06,-10.0,15.790157894736842,4.9997822413707588E-01,4.9997822413710624E-01,4.9997822413707593E-01
-10.0,0.001,1e-06,-10.0,18.42168421052632,4.9997544814625194E-01,4.9997544815056111E-01,4.9997544814625200E-01
-10.0,0.001,1e-06,-10.0,21.05321052631579,4.9997278003262119E-01,4.9997278003261986E-01,4.9997278003262124E-01
-10.0,0.001,1e-06,-10.0,23.684736842105263,4.9997020522372965E-01,4.9997020522372998E-01,4.9997020522372965E-01
-10.0,0.001,1e-06,-10.0,26.31626315789474,4.9996771245755439E-01,4.9996771245727156E-01,4.9996771245755428E-01
-10.0,0.001,1e-06,-10.0,28.947789473684214,4.9996529277560753E-01,4.9996529277562601E-01,4.9996529277560753E-01
-10.0,0.001,1e-06,-10.0,31.579315789473686,4.9996293888647708E-01,4.9996293888653964E-01,4.9996293888647719E-01
-10.0,0.001,1e-06,-10.0,34.210842105263154,4.9996064474375923E-01,4.9996064474378166E-01,4.9996064474375934E-01
-10.0,0.001,1e-06,-10.0,36.84236842105263,4.9995840525512619E-01,4.9995840526408630E-01,4.9995840525512608E-01
-10.0,0.001,1e-06,-10.0,39.473894736842105,4.9995621607528845E-01,4.9995621607528168E-01,4.9995621607528840E-01
-10.0,0.001,1e-06,-10.0,42.10542105263158,4.9995407345466097E-01,4.9995407345465798E-01,4.9995407345466086E-01
-10.0,0.001,1e-06,-10.0,44.73694736842105,4.9995197412619491E-01,4.9995197412619496E-01,4.9995197412619485E-01
-10.0,0.001,1e-06,-10.0,47.36847368421052,4.9994991521906906E-01,4.9994991521906990E-01,4.9994991521906901E-01
-10.0,0.001,1e-06,-10.0,50.0,4.9994789419172808E-01,4.9994789419172869E-01,4.9994789419172803E-01
-8.947368421052632,0.001,1e-06,-10.0,0.001,9.9969810175817231E-01,9.9969810175657781E-01,9.9969810175817264E-01
-8.947368421052632,0.001,1e-06,-10.0,2.6325263157894736,6.2139069089136323E-01,6.2139069089147636E-01,6.2139069089136323E-01
-8.947368421052632,0.001,1e-06,-10.0,5.264052631578948,5.6313993441435195E-01,5.6313993441141375E-01,5.6313993441435195E-01
-8.947368421052632,0.001,1e-06,-10.0,7.8955789473684215,5.4250262479411271E-01,5.4250262479412759E-01,5.4250262479411260E-01
-8.947368421052632,0.001,1e-06,-10.0,10.527105263157894,5.3203386255390550E-01,5.3203386255390472E-01,5.3203386255390539E-01
-8.947368421052632,0.001,1e-06,-10.0,13.158631578947368,5.2571591119258809E-01,5.2571591119245031E-01,5.2571591119258820E-01
-8.947368421052632,0.001,1e-06,-10.0,15.790157894736842,5.2149104557434778E-01,5.2149104557437798E-01,5.2149104557434778E-01
-8.947368421052632,0.001,1e-06,-10.0,18.42168421052632,5.1846752297013565E-01,5.1846752297444987E-01,5.1846752297013576E-01
-8.947368421052632,0.001,1e-06,-10.0,21.05321052631579,5.1619681142170881E-01,5.1619681142170737E-01,5.1619681142170870E-01
-8.947368421052632,0.001,1e-06,-10.0,23.684736842105263,5.1442883019887464E-01,5.1442883019887498E-01,5.1442883019887453E-01
-8.947368421052632,0.001,1e-06,-10.0,26.31626315789474,5.1301317790942003E-01,5.1301317790913681E-01,5.1301317790941992E-01
-8.947368421052632,0.001,1e-06,-10.0,28.947789473684214,5.1185398834380136E-01,5.1185398834381990E-01,5.1185398834380147E-01
-8.947368421052632,0.001,1e-06,-10.0,31.579315789473686,5.1088727490024333E-01,5.1088727490030594E-01,5.1088727490024333E-01
-8.947368421052632,0.001,1e-06,-10.0,34.210842105263154,5.1006869955122591E-01,5.1006869955124834E-01,5.1006869955122580E-01
-8.947368421052632,0.001,1e-06,-10.0,36.84236842105263,5.0936657025222865E-01,5.0936657026119914E-01,5.0936657025222853E-01
-8.947368421052632,0.001,1e-06,-10.0,39.473894736842105,5.0875763325953804E-01,5.0875763325953127E-01,5.0875763325953816E-01
-8.947368421052632,0.001,1e-06,-10.0,42.10542105263158,5.0822444034159353E-01,5.0822444034159042E-01,5.0822444034159342E-01
-8.947368421052632,0.001,1e-06,-10.0,44.73694736842105,5.0775364366956199E-01,5.0775364366956199E-01,5.0775364366956188E-01
-8.947368421052632,0.001,1e-06,-10.0,47.36847368421052,5.0733485824436919E-01,5.0733485824437008E-01,5.0733485824436908E-01
-8.947368421052632,0.001,1e-06,-10.0,50.0,5.0695988308714424E-01,5.0695988308714490E-01,5.0695988308714401E-01
-7.894736842105264,0.001,1e-06,-10.0,0.001,9.9984929805919531E-01,9.9984929805916634E-01,9.9984929805919553E-01
-7.894736842105264,0.001,1e-06,-10.0,2.6325263157894736,7.1527623133938589E-01,7.1527623133949902E-01,7.1527623133938600E-01
-7.894736842105264,0.001,1e-06,-10.0,5.264052631578948,6.2172018492403480E-01,6.2172018492109182E-01,6.2172018492403458E-01
-7.894736842105264,0.001,1e-06,-10.0,7.8955789473684215,5.8357435479630948E-01,5.8357435479632458E-01,5.8357435479630948E-01
-7.894736842105264,0.001,1e-06,-10.0,10.527105263157894,5.6345910940792487E-01,5.6345910940792421E-01,5.6345910940792487E-01
-7.894736842105264,0.001,1e-06,-10.0,13.158631578947368,5.5112674432137243E-01,5.5112674432123443E-01,5.5112674432137243E-01
-7.894736842105264,0.001,1e-06,-10.0,15.790157894736842,5.4281481685431110E-01,5.4281481685434141E-01,5.4281481685431121E-01
-7.894736842105264,0.001,1e-06,-10.0,18.42168421052632,5.3683981855828999E-01,5.3683981856260932E-01,5.3683981855828999E-01
-7.894736842105264,0.001,1e-06,-10.0,21.05321052631579,5.3234020974381779E-01,5.3234020974381646E-01,5.3234020974381779E-01
-7.894736842105264,0.001,1e-06,-10.0,23.684736842105263,5.2883058987576659E-01,5.2883058987576703E-01,5.2883058987576648E-01
-7.894736842105264,0.001,1e-06,-10.0,26.31626315789474,5.2601703619049522E-01,5.2601703619021190E-01,5.2601703619049534E-01
-7.894736842105264,0.001,1e-06,-10.0,28.947789473684214,5.2371131842910568E-01,5.2371131842912422E-01,5.2371131842910557E-01
-7.894736842105264,0.001,1e-06,-10.0,31.579315789473686,5.2178737513274331E-01,5.2178737513280593E-01,5.2178737513274309E-01
-7.894736842105264,0.001,1e-06,-10.0,34.210842105263154,5.2015763488873057E-01,5.2015763488875311E-01,5.2015763488873057E-01
-7.894736842105264,0.001,1e-06,-10.0,36.84236842105263,5.1875938278328082E-01,5.1875938279226175E-01,5.1875938278328071E-01
-7.894736842105264,0.001,1e-06,-10.0,39.473894736842105,5.1754653323673649E-01,5.1754653323672950E-01,5.1754653323673638E-01
-7.894736842105264,0.001,1e-06,-10.0,42.10542105263158,5.1648446507902390E-01,5.1648446507902090E-01,5.1648446507902379E-01
-7.894736842105264,0.001,1e-06,-10.0,44.73694736842105,5.1554666771850510E-01,5.1554666771850510E-01,5.1554666771850499E-01
-7.894736842105264,0.001,1e-06,-10.0,47.36847368421052,5.1471249887348791E-01,5.1471249887348891E-01,5.1471249887348780E-01
