alpha,beta,delta,mpmath,scipy,gnp
51.182650648400966,27.75337509775536,28.417973937788823,1.5336085215845290E-115,NAN,2.2670902250288824E-103
95.0464191688972,91.90491560365162,0.9811371323426047,2.8466623137620956E-32,2.8466623367835765E-32,2.8466623137621323E-32
14.416817112350653,10.154814869399548,11.038956309681398,3.9113115946163670E-22,3.9113197778932621E-22,3.9113115946163844E-22
94.86499606427725,51.714206635485574,13.125971722033709,1.3720342709261428E-120,NAN,7.8992520620952525E-90
31.183833369596535,14.461430000060426,43.221093984206526,4.1720878870800313E-69,NAN,6.4609423880592865E-102
42.33322157080859,19.747017377497937,77.58367517839108,2.7231578006691680E-191,NAN,0.0000000000000000E+00
82.77043167945035,56.41903560856956,40.43917070454664,0.0000000000000000E+00,NAN,0.0000000000000000E+00
40.920504437779755,9.617806332149874,14.605127946050295,3.6180166522860630E-09,3.6180290389186946E-09,3.6180166522860576E-09
54.95981917361827,39.294639625616114,16.792969069638357,1.9932211422004117E-153,0.0000000000000000E+00,4.7465923071863815E-123
2.7568837651935936,1.3536513153831333,95.28853798869946,9.8697732628652449E-17,9.8699123169313267E-17,9.8697732628652769E-17
75.35155735437199,50.81052671465251,62.01880289387534,0.0000000000000000E+00,NAN,0.0000000000000000E+00
53.8147931786146,50.584830740266426,29.64855778784038,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
32.97384191819271,7.715442910951418,84.44676248168926,8.6286766789483186E-36,NAN,0.0000000000000000E+00
78.843081914137,31.806802578642873,94.74450230941478,0.0000000000000000E+00,NAN,0.0000000000000000E+00
30.320179734335206,8.356538936853457,54.67089039691097,4.6297869631932487E-30,NAN,2.2661287432950317E-160
45.35033545017566,2.4294656270291943,45.30487483266998,7.5708503554170669E-03,NAN,3.9825471183160613E-03
13.405035683019227,8.335861489062363,38.65670806658091,4.4055216060744686E-51,4.4644301200484006E-51,4.4055216060745375E-51
40.31189553172647,25.32647141374494,37.50949711761426,5.9911042681571676E-149,NAN,2.6754894280665918E-148
20.346320612374285,20.314011233909998,86.41348180433914,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
26.23207173084451,15.760880561055508,71.21197876915316,3.4889962477885340E-181,NAN,0.0000000000000000E+00
75.03671689833263,29.738120156280953,91.16196237175353,7.1820663599923809E-301,NAN,6.8031007125984013E-304
28.041595389846005,25.24742992873873,3.3095831006770067,7.8082475344823898E-25,7.8082474598690054E-25,7.8082475344823843E-25
48.51961225218907,0.793468028771156,13.171875780945237,3.3967291063113553E-01,3.3967291063113925E-01,3.3967291063113553E-01
98.07373924292406,29.72630289911516,52.474464721099146,7.3359569765321447E-138,NAN,1.3261062166999146E-107
96.16575770918502,72.26137267347693,58.6997543256049,0.0000000000000000E+00,NAN,0.0000000000000000E+00
72.47926928741259,11.753531087265959,43.0223441615687,5.1769903050951283E-20,NAN,5.1769903050951464E-20
54.12314432788787,19.56624751174891,51.75770392477754,1.0878333266301605E-84,NAN,1.0785282174321194E-84
27.689843513333038,23.49110819420817,90.1340424393106,0.0000000000000000E+00,NAN,0.0000000000000000E+00
16.06604022550391,5.542547707753625,56.28760580251508,2.9517042164032542E-26,NAN,2.9517042164032972E-26
96.99257139620003,23.61524571137024,26.207807776997154,1.9403005211398561E-35,NAN,1.9403005211398716E-35
51.60734248620232,45.92057933029911,49.98466134515258,0.0000000000000000E+00,NAN,0.0000000000000000E+00
11.58744538146456,0.906860947811336,29.769217536023174,7.2953588810730691E-02,7.2953588810729622E-02,7.2953588810730746E-02
62.3493520639945,53.3697000963443,63.05040988284277,0.0000000000000000E+00,NAN,0.0000000000000000E+00
77.66853475111546,24.52413872882144,58.737465165208064,1.9650433515793252E-180,NAN,8.1531733978209866E-104
61.300717102002984,12.773178177185223,70.80311260301534,1.2208939846318751E-43,NAN,1.4433572984160227E-64
91.72985318138548,44.755271064359576,97.40302627341656,0.0000000000000000E+00,NAN,0.0000000000000000E+00
3.9602480735436214,1.9145869944231484,49.864657739022135,1.1805635163404416E-12,1.1805633573475137E-12,1.1805635163404441E-12
52.8593977367389,50.944174539091236,3.7596123499765346,1.5155974633079850E-65,1.5173358867728435E-65,1.5155974633080501E-65
45.93412895265748,34.54245073929618,49.493006921024794,0.0000000000000000E+00,NAN,0.0000000000000000E+00
6.23589556540841,2.8697727875961734,50.79275817291245,1.7775315755646233E-17,1.7776651667919807E-17,1.7775315755646322E-17
64.13317558576836,35.8715631181182,79.07456449604959,0.0000000000000000E+00,NAN,0.0000000000000000E+00
85.2634312152272,27.176143935129375,92.76896970961626,1.7183985719847184E-192,NAN,3.2240666702485045E-195
59.29450886941029,58.21274869335667,16.123609169656913,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
26.010484676274583,10.044388898505378,88.59152788279084,6.4249914274846215E-165,NAN,0.0000000000000000E+00
83.98831222161985,74.3227733165312,17.266265755011148,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
50.95007865626941,33.411279925544626,59.02436922852303,0.0000000000000000E+00,NAN,0.0000000000000000E+00
51.08937755776883,46.76270933075409,0.4678159756712246,5.4564944264875575E-08,5.4564944973467935E-08,5.4564944264875575E-08
75.30326774001009,26.722006544941536,84.49930287874828,2.4413701007390387E-199,NAN,4.1875310361341828E-202
14.793055656459869,6.166678059404804,41.217707690820475,3.0145583439177456E-26,3.0324735872129828E-26,3.0145583439177743E-26
81.96285228520858,30.292511990804933,21.671936570889027,6.1065910869927558E-57,NAN,6.1065910869928056E-57
68.32900731341971,56.46632175116038,94.61638560616045,0.0000000000000000E+00,NAN,0.0000000000000000E+00
78.70990705853855,74.94887376997133,8.58344062992096,3.6414757451084245E-225,2.4153207727142545E-206,2.5772888328076852E-206
19.162434285754504,15.78831656540185,35.19620488391255,1.3721208440398779E-133,2.2200250000748857E-129,2.2627774595166564E-129
80.23661374929186,36.228309867000696,46.62150036435772,1.6520886412864552E-227,NAN,1.3460769619804218E-177
19.13320128179397,15.850681220103608,26.416840070949966,1.7004255553167188E-109,5.8869556799502914E-99,5.7993713025151503E-99
8.156180183733907,5.951776710046851,35.77307250858923,2.6801375842352146E-42,2.6863005739875872E-42,2.6801375842352522E-42
85.52284220173273,44.39447730750297,84.39466167352157,0.0000000000000000E+00,NAN,0.0000000000000000E+00
86.12848833427067,15.858667986214286,19.66933984439404,1.3638619442087834E-14,NAN,1.3638619442087875E-14
87.65383310456164,20.896252335646412,55.6828871579376,1.3979696258908488E-185,NAN,1.8314064158922391E-63
47.19150002615966,33.19245898794248,21.239189292366593,2.4178681647237619E-127,NAN,2.4024631246861228E-128
27.405564812983215,5.463078132171798,61.9328958030191,7.6929107929252486E-17,NAN,2.4609650749530869E-277
0.710175768488023,0.3978584277340207,25.041538566123645,7.0766889870125518E-03,7.0766889870125553E-03,7.0766889870125535E-03
64.5724438365992,51.88914573387225,31.539145692065294,0.0000000000000000E+00,NAN,0.0000000000000000E+00
71.9912184414858,47.05276070649889,52.679513769578584,0.0000000000000000E+00,NAN,0.0000000000000000E+00
83.55708608081092,50.93106921334292,25.18025388431035,3.0423317521933508E-267,NAN,6.1180087558153778E-192
28.18850085862685,7.278775401291393,72.96366439254689,1.7256473523254334E-32,NAN,0.0000000000000000E+00
21.522601498130197,2.5976939911360466,22.4597778357727,3.9323544435533320E-03,3.9323544435534725E-03,3.9323544435533328E-03
63.93349867527871,2.227572881871452,83.73246765884707,5.3924766231292142E-03,NAN,1.0347243540494924E-89
80.50567825966783,3.803685060272123,70.08056470211426,1.9277471735338532E-04,NAN,1.9277471735338537E-04
96.36712361362424,22.385980243223937,12.923514304182165,7.6782015191477835E-17,NAN,7.6782015191478180E-17
15.053332517287325,8.393246174605178,52.01600328116535,4.3749810643333104E-60,0.0000000000000000E+00,4.3749810643334193E-60
48.22175660754545,20.437966976787457,6.620904852085807,4.4157536919016353E-15,4.4158616138500653E-15,4.4157536919016700E-15
89.47169150375515,18.314026114404168,17.21627507019812,3.3514034325875506E-16,NAN,3.3514034325875718E-16
42.27226797763678,12.811953563870532,31.289903137521303,3.4374167322314233E-29,NAN,3.4374167322314692E-29
58.95061670634272,27.195616567189106,70.78553711046933,5.3531954926919068E-236,NAN,8.8269670207345605E-239
2.4500432586588263,1.9559781816443171,61.82847471058284,2.7214493568961254E-28,2.7214736746869782E-28,2.7214493568961330E-28
67.34631525540674,44.15340873956482,53.20369921195046,0.0000000000000000E+00,NAN,0.0000000000000000E+00
91.90894287476262,3.84397387228549,18.23718267130279,4.3397754535209519E-02,NAN,4.3397754535209464E-02
82.68270613034255,39.816349766781144,29.74731478691257,1.8520613874052710E-161,NAN,1.6247216209064863E-134
88.55214115072796,16.526056322243754,68.65637100196606,2.3433471231741464E-133,NAN,1.1166478912924258E-48
66.03587769667182,56.40277530376468,49.059110765504386,0.0000000000000000E+00,NAN,0.0000000000000000E+00
24.555981172050515,21.71078830122396,32.26469987989498,1.1103858150708885E-197,0.0000000000000000E+00,7.6862720010153676E-186
76.85193137262654,42.61865213603088,6.901758189327703,6.7051555930880897E-41,6.7751333701496735E-41,6.7051555930882131E-41
